platform_code,time,latitude,longitude,observation_depth,ztmp,zsal
,UTC,degrees_north,degrees_east,,Deg C,
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,3.2,6.6,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,4.3,6.6,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,6.2,6.61,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,8.2,6.61,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,10.2,6.61,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,12.2,6.61,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,14.2,6.61,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,16.2,6.61,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,18.1,6.6,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,20.1,6.6,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,22.1,6.59,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,24.1,6.58,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,26.1,6.55,32.71
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,28.1,6.47,32.7
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,30.0,6.16,32.74
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,32.0,5.79,32.79
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,34.0,5.4,32.83
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,36.0,5.04,32.84
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,38.0,4.71,32.87
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,39.9,4.38,32.88
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,41.9,3.91,32.94
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,43.9,3.6,32.96
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,45.9,3.28,32.98
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,47.9,2.89,33.03
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,49.9,2.69,33.04
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,51.8,2.64,33.05
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,53.8,2.6,33.05
4902936,2023-10-23T08:04:00Z,51.7564,159.0117,55.8,2.57,33.05
